priority,item,status,why_needed
high,cams_reg_source_gold.csv or generator,missing,ranked_sources evaluation and dashboard
high,full_shap_only.json / full_shap_rag.json / full_shap_rag_image.json,missing,final 3-condition evaluation and dashboard
high,260701_find_image_rescues.py,missing,image rescue/broken-case extraction
high,build_visual_cases_full.py,missing,z13 Sentinel crop creation
high,paper_outputs/visual/visual_cases.jsonl and crop images,missing,image-conditioned generation
high,final_master_data_FINAL.csv,missing,training from scratch and dashboard station metadata
high,raw data directory /media/usr/DATA/yongjin/,missing,AQFusionNet/LGBM training from scratch
high,train_aqnet.py or Stage 0 equivalent,missing,backbone retraining
medium,config/model_matrix_fast.yaml,missing,paper_12 multimodel generation
medium,config/unified_rubric.yaml,missing,paper_13 unified evaluation
medium,requirements_unified_models.txt,missing,multimodel deps
medium,scripts/run_unified_fast_experiment.sh,missing,README multimodel command
medium,paper_08_generate_1step_image_reports_v1_1.py,missing,local import used by paper_12/prompts
medium,human visual label gold CSV,missing,paper_14 visual label metrics
